class,Text1
check in,When can I web check-in?
check in,want to check in
check in,please check me in
check in,check in
check in,my flight is tomm can I check in
check in,not able to check in
check in,flight is next week want to check in
check in,how to check in onine
check in,check in online
check in,check in before flight
check in,checking in
check in,can I e check in
check in,check in 2 hours before?
check in,I am flying on 26th of this month. Want to check in
check in,I am flying 20th Monday can I check in now
check in,"I am getting late to the airport, can I check in now"
check in,"please check me in, My PNR is 65321"
check in,please check in
check in,checkin
check in,check in
check in,get me to check in
check in,check in internet
baggage,what is free baggage allowance
baggage,how much baggage
baggage,I have 35 kg should I pay
baggage,how much can I carry
baggage,lots of bags I have
baggage,till how much baggage is free
baggage,how many bags are free
baggage,upto what weight I can carry
baggage,how much can I carry
baggage,baggage carry
baggage,baggage to carry
baggage,number of bags
baggage,carrying bags
baggage,travelling with bags
baggage,money for luggage
baggage,how much luggage I can carry
baggage,too much luggage
baggage,have lots of luggage
baggage,how much luggage I can carry
baggage,carrying luggage
cancel,cancel my booking
cancel,cancel my tickets
cancel,cancel tickets
cancel,ticket cancellation
cancel,I want to cancel my tickets
cancel,I have a booking for the 24th of june. Want to cancel the booking
cancel,how do I cancel my booking
cancel,12th of dec my tickets are booked please cancel those
cancel,03/mar/2017 is when my tickets are for. Need them to be cancelled
cancel,last minute want to cancel
cancel,cancelling tickets
cancel,how do I cancel my reservation
cancel,cancel reservation
cancel,cancel booking
cancel,want to cancel my booking
cancel,Please cancel my booking
login,not abel to login
login,forgot password
login,error while logging in
login,login failed
login,trying to login
login,help me login
login,log me in
login,log in but error
login,access account online
login,forgot username
login,not remembering username
login,need to login
login,want to login
login,not remembering password
login,what is username
login,what is my password
login,what is my username
greetings,Hi
greetings,Hello
greetings,you there?
greetings,I have an issue
greetings,can you help
greetings,hi there
greetings,hello there
greetings,hey
greetings,hey there
greetings,good morning
greetings,good afternoon
greetings,good evening
greetings,good night
greetings,goodmorning
greetings,goodafternoon
greetings,goodevening
greetings,goodnight
greetings,GM
greetings,hello sir
greetings,hello madam
greetings,hello mam
thanks,thanks
thanks,thank u
thanks,it was helpful
thanks,very helpful
thanks,good
thanks,nice
thanks,ok see you
thanks,ok cool
thanks,ok cool thanks
thanks,ok thank u
thanks,thanks
thanks,thank u
thanks,cool
thanks,that’s helpful
thanks,that’s really nice
thanks,very good
other,book a ticket
other,payment issue
other,alerts
other,special assistance
other,infants
other,dogs
other,general
other,akslakalkd;lak;
other,mmmm ppppp ooo
other,abcddef
other,billing issue
other,flight which aircraft
other,my mom 
other,my dad
other,celebrations
other,text 
other,birthdays
other,insurance needed
other,certificate
other,EMlsBXgolj
other,XeYDzYqQxH
other,ShUOpiZeBX
other,uvcvlJQLSn
other,GPjYuYEkGu
other,dBGIrwlKgG
other,rCocWHMCSZ
other,kKPakjyOFl
other,wUUAaMgTKy
other,jKiuPsgobH
other,Air Canada Rouge
other,the flight was
other,in front of
other,The food was
other,on time and
other,I had to
other,one of the
other,of the flight
other,there was no
other,with Air Canada
other,at the airport
other,on the plane
other,it was a
other,a lot of
other,seat in front
other,we had to
other,on Air Canada
other,All in all
other,of the plane
other,the cabin crew
other,the seat in
other,on the way
other,a hour flight
other,The flight was
other,in business class
other,on the flight
other,the plane was
other,in flight entertainment
other,value for money
other,the food was
other,was on time
other,from Toronto to
other,The seats were
other,front of me
other,I will never
other,the return flight
other,flight was delayed
other,I didn t
other,the way back
other,The plane was
other,at the gate
other,I don t
other,the check in
other,on the return
other,were on time
other,I had a
other,I have flown
other,will never fly
other,and it was
other,the flight attendants
login,not abel to login
login,forgot password
login,error while logging in
login,login failed
login,trying to login
login,help me login
login,log me in
login,log in but error
login,access account online
login,forgot username
login,not remembering username
login,need to login
login,want to login
login,not remembering password
login,what is username
login,what is my password
login,what is my username
login,not abel to login
login,forgot password
login,error while logging in
login,login failed
login,trying to login
login,help me login
login,log me in
login,log in but error
login,access account online
login,forgot username
login,not remembering username
login,need to login
login,want to login
login,not remembering password
login,what is username
login,what is my password
login,what is my username
login,am not remembering username
login,forgot my password
login,not sure of my username
login,please help me with my passowrd and username
login,password
login,password
login,pwd
login,password
login,password
login,pwd
login,pwd
login,pwd
login,pwd
login,pwd
login,pwd
login,pwd
login,pwd
login,pwd
login,pwd
login,pwd
login,pwd
login,pwd
login,pwd
login,pwd
login,pwd
login,pwd
login,logging in
login,trouble loggin in
login,issues sign in
login,signing in issues
login,trouble with login
login,login failed
login,login issues
login,logging in
login,trouble loggin in
login,issues sign in
login,signing in issues
login,trouble with login
login,login failed
login,login issues
login,logging in
login,trouble loggin in
login,issues sign in
login,signing in issues
login,trouble with login
login,login failed
login,login issues
login,logging in
login,trouble loggin in
login,issues sign in
login,signing in issues
login,trouble with login
login,login failed
login,login issues
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
greetings,hi
check in,checkin
check in,check in
check in,checkin
check in,check in
check in,checkin
check in,check in
check in,checkin
check in,check in
check in,checkin
check in,check in
check in,checkin
check in,check in
check in,checkin
check in,check in
check in,checkin
check in,check in
check in,checkin
check in,check in
check in,checkin
check in,check in
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
check in,checkin
baggage,what is bagggage
baggage,what is luggage
baggage,what is baggage allowance
baggage,allowance in baggange
baggage,allowance in baggage
baggage,baggage allowance
baggage,free baggage
baggage,free luggage
baggage,what is bagggage
baggage,what is luggage
baggage,what is baggage allowance
baggage,allowance in baggange
baggage,allowance in baggage
baggage,baggage allowance
baggage,free baggage
baggage,free luggage
baggage,what is bagggage
baggage,what is luggage
baggage,what is baggage allowance
baggage,allowance in baggange
baggage,allowance in baggage
baggage,baggage allowance
baggage,free baggage
baggage,free luggage
baggage,what is bagggage
baggage,what is luggage
baggage,what is baggage allowance
baggage,allowance in baggange
baggage,allowance in baggage
baggage,baggage allowance
baggage,free baggage
baggage,free luggage
baggage,what is bagggage
baggage,what is luggage
baggage,what is baggage allowance
baggage,allowance in baggange
baggage,allowance in baggage
baggage,baggage allowance
baggage,free baggage
baggage,free luggage
baggage,what is bagggage
baggage,what is luggage
baggage,what is baggage allowance
baggage,allowance in baggange
baggage,allowance in baggage
baggage,baggage allowance
baggage,free baggage
baggage,free luggage
baggage,what is bagggage
baggage,what is luggage
baggage,what is baggage allowance
baggage,allowance in baggange
baggage,allowance in baggage
baggage,baggage allowance
baggage,free baggage
baggage,free luggage
